TILE,WKT
SU1612,"POLYGON((416000 112000, 417000 112000, 417000 113000, 416000 113000, 416000 112000))"
SU1613,"POLYGON((416000 113000, 417000 113000, 417000 114000, 416000 114000, 416000 113000))"
SU1614,"POLYGON((416000 114000, 417000 114000, 417000 115000, 416000 115000, 416000 114000))"
SU1615,"POLYGON((416000 115000, 417000 115000, 417000 116000, 416000 116000, 416000 115000))"
SU1616,"POLYGON((416000 116000, 417000 116000, 417000 117000, 416000 117000, 416000 116000))"
SU1617,"POLYGON((416000 117000, 417000 117000, 417000 118000, 416000 118000, 416000 117000))"
SU1618,"POLYGON((416000 118000, 417000 118000, 417000 119000, 416000 119000, 416000 118000))"
SU1619,"POLYGON((416000 119000, 417000 119000, 417000 120000, 416000 120000, 416000 119000))"
SU1710,"POLYGON((417000 110000, 418000 110000, 418000 111000, 417000 111000, 417000 110000))"
SU1711,"POLYGON((417000 111000, 418000 111000, 418000 112000, 417000 112000, 417000 111000))"
SU1712,"POLYGON((417000 112000, 418000 112000, 418000 113000, 417000 113000, 417000 112000))"
SU1713,"POLYGON((417000 113000, 418000 113000, 418000 114000, 417000 114000, 417000 113000))"
SU1714,"POLYGON((417000 114000, 418000 114000, 418000 115000, 417000 115000, 417000 114000))"
SU1715,"POLYGON((417000 115000, 418000 115000, 418000 116000, 417000 116000, 417000 115000))"
SU1716,"POLYGON((417000 116000, 418000 116000, 418000 117000, 417000 117000, 417000 116000))"
SU1717,"POLYGON((417000 117000, 418000 117000, 418000 118000, 417000 118000, 417000 117000))"
SU1718,"POLYGON((417000 118000, 418000 118000, 418000 119000, 417000 119000, 417000 118000))"
SU1719,"POLYGON((417000 119000, 418000 119000, 418000 120000, 417000 120000, 417000 119000))"
SU1810,"POLYGON((418000 110000, 419000 110000, 419000 111000, 418000 111000, 418000 110000))"
SU1811,"POLYGON((418000 111000, 419000 111000, 419000 112000, 418000 112000, 418000 111000))"
SU1812,"POLYGON((418000 112000, 419000 112000, 419000 113000, 418000 113000, 418000 112000))"
SU1813,"POLYGON((418000 113000, 419000 113000, 419000 114000, 418000 114000, 418000 113000))"
SU1814,"POLYGON((418000 114000, 419000 114000, 419000 115000, 418000 115000, 418000 114000))"
SU1815,"POLYGON((418000 115000, 419000 115000, 419000 116000, 418000 116000, 418000 115000))"
SU1816,"POLYGON((418000 116000, 419000 116000, 419000 117000, 418000 117000, 418000 116000))"
SU1817,"POLYGON((418000 117000, 419000 117000, 419000 118000, 418000 118000, 418000 117000))"
SU1818,"POLYGON((418000 118000, 419000 118000, 419000 119000, 418000 119000, 418000 118000))"
