StationName,EastIndex,NorthIndex,RecNoS0,RecNoS1,RecNoS2,RecNoS3,Se0,Sn0,Sg0,Flag0,Se1,Sn1,Sg1,Flag1,Se2,Sn2,Sg2,Flag2,Se3,Sn3,Sg3,Flag3,x0,y0,DX,DY,t,u,Se,Sn,Sg
GLAS, 256 , 664 , 465721 , 465722 , 466423 , 466422 , 93.42 ,-63.054 , 54.218 , 1 , 93.453 ,-63.069 , 54.2 , 1 , 93.457 ,-63.024 , 54.186 , 1 , 93.419 ,-63.014 , 54.204 , 1 , 256000 , 664000 , 247.485847375036 , 760.291993325693 , 0.247485847375036 , 0.760291993325693 , 93.4283475485112 ,-63.0263598004365 , 54.2029011668407 
INVE, 266 , 846 , 593313 , 593314 , 594015 , 594014 , 95.237 ,-56.669 , 52.999 , 1 , 95.275 ,-56.684 , 52.95 , 1 , 95.281 ,-56.658 , 52.932 , 1 , 95.241 ,-56.643 , 52.983 , 1 , 266000 , 846000 , 961.48061858397 , 233.645932597574 , 0.96148061858397 , 0.233645932597574 , 95.2749201393082 ,-56.6773474150312 , 52.9476998226962 
IOMN, 244 , 495 , 347240 , 347241 , 347942 , 347941 , 93.085 ,-69.761 , 54.643 , 3 , 93.123 ,-69.736 , 54.604 , 3 , 93.113 ,-69.684 , 54.591 , 3 , 93.075 ,-69.709 , 54.628 , 3 , 244000 , 495000 , 687.516911580024 , 324.611193918565 , 0.687516911580024 , 0.324611193918565 , 93.1078795307009 ,-69.7269322951267 , 54.6117640239106 
IOMS, 227 , 468 , 328296 , 328297 , 328998 , 328997 , 92.402 ,-70.983 , 55.036 , 3 , 92.443 ,-70.982 , 55.013 , 3 , 92.449 ,-70.942 , 55.025 , 3 , 92.409 ,-70.942 , 55.047 , 3 , 227000 , 468000 , 685.882207944989 , 918.330945212627 , 0.685882207944989 , 0.918330945212627 , 92.4359196202859 ,-70.9452924158947 , 55.0309562164709 
KING, 562 , 319 , 224182 , 224183 , 224884 , 224883 , 100.711 ,-77.065 , 45.549 , 1 , 100.732 ,-77.09 , 45.533 , 1 , 100.758 ,-77.079 , 45.527 , 1 , 100.731 ,-77.044 , 45.542 , 1 , 562000 , 319000 , 79.8050637146225 , 862.042118398298 , 7.98050637146225E-02 , 0.862042118398298 , 100.730329520663 ,-77.0495801953683 , 45.541757619478 
LEED, 422 , 433 , 303956 , 303957 , 304658 , 304657 , 98.472 ,-72.531 , 49.726 , 1 , 98.509 ,-72.547 , 49.672 , 1 , 98.529 ,-72.518 , 49.671 , 1 , 98.492 ,-72.502 , 49.726 , 1 , 422000 , 433000 , 143.679284025333 , 891.206651476678 , 0.143679284025333 , 0.891206651476678 , 98.4951402665385 ,-72.5074538756516 , 49.718113270729 
LIZ1, 170 , 11 , 7882 , 7883 , 8584 , 8583 , 93.516 ,-80.508 , 53.048 , 1 , 93.523 ,-80.498 , 53.044 , 1 , 93.521 ,-80.477 , 53.044 , 1 , 93.514 ,-80.487 , 53.047 , 1 , 170000 , 11000 , 277.189489449869 , 652.895380376633 , 0.277189489449869 , 0.652895380376633 , 93.5166345356654 ,-80.4915173021176 , 53.046419322399 
LOND, 530 , 178 , 125309 , 125310 , 126011 , 126010 , 98.543 ,-78.584 , 45.544 , 1 , 98.554 ,-78.59 , 45.525 , 1 , 98.558 ,-78.579 , 45.535 , 1 , 98.545 ,-78.573 , 45.554 , 1 , 530000 , 178000 , 526.412835009862 , 467.043390734965 , 0.526412835009862 , 0.467043390734965 , 98.5502163432374 ,-78.582020999712 , 45.5386685900422 
LYN1, 247 , 393 , 275741 , 275742 , 276443 , 276442 , 93.491 ,-73.383 , 54.483 , 1 , 93.518 ,-73.377 , 54.47 , 1 , 93.513 ,-73.343 , 54.452 , 1 , 93.487 ,-73.349 , 54.464 , 1 , 247000 , 393000 , 865.447697252646 , 566.264246236242 , 0.865447697252646 , 0.566264246236242 , 93.5116119587529 ,-73.3585543294444 , 54.4614802313452 
LYN2, 247 , 393 , 275741 , 275742 , 276443 , 276442 , 93.491 ,-73.383 , 54.483 , 1 , 93.518 ,-73.377 , 54.47 , 1 , 93.513 ,-73.343 , 54.452 , 1 , 93.487 ,-73.349 , 54.464 , 1 , 247000 , 393000 , 865.717557303258 , 568.938184508821 , 0.865717557303258 , 0.568938184508821 , 93.5116060815338 ,-73.3584617963829 , 54.4614283860247 
MALA, 167 , 797 , 558865 , 558866 , 559567 , 559566 , 91.365 ,-57.01 , 55.303 , 1 , 91.397 ,-57.022 , 55.304 , 1 , 91.417 ,-56.977 , 55.308 , 1 , 91.384 ,-56.965 , 55.309 , 1 , 167000 , 797000 , 542.805387322122 , 124.153277587029 , 0.542805387322122 , 0.124153277587029 , 91.3847960757364 ,-57.0109267671564 , 55.304152942917 
NAS1, 292 , 168 , 118061 , 118062 , 118763 , 118762 , 94.568 ,-77.821 , 51.757 , 1 , 94.569 ,-77.817 , 51.734 , 1 , 94.581 ,-77.797 , 51.752 , 1 , 94.58 ,-77.802 , 51.774 , 1 , 292000 , 168000 , 90.2892255074112 , 81.2814499578963 , 9.02892255074112E-02 , 8.12814499578963E-02 , 94.569065666625 ,-77.8190871567096 , 51.7563124713018 
NEWC, 424 , 565 , 396490 , 396491 , 397192 , 397191 , 99.605 ,-67.831 , 49.352 , 1 , 99.635 ,-67.837 , 49.306 , 1 , 99.676 ,-67.815 , 49.301 , 1 , 99.654 ,-67.812 , 49.348 , 1 , 424000 , 565000 , 539.718605588656 , 80.5329097614158 , 0.539718605588656 , 8.05329097614158E-02 , 99.6247899498679 ,-67.8325777910188 , 49.3268073473941 
NFO1, 639 , 169 , 119109 , 119110 , 119811 , 119810 , 101.566 ,-79.98 , 44.343 , 1 , 101.598 ,-79.997 , 44.323 , 1 , 101.613 ,-79.959 , 44.324 , 1 , 101.583 ,-79.943 , 44.344 , 1 , 639000 , 169000 , 720.223928344203 , 645.824170934764 , 0.720223928344203 , 0.645824170934764 , 101.59909590057 ,-79.9678831744359 , 44.3292413456041 
